TotalCount,Hosp_ID,Hosp_Name,Special_Type,Special_Name,Regist_Fee,EM_Regist_Fee,Fee_Remark,Address,Tel_Area,Tel_Num,Stars,Comments
109,3701150926,以新牙醫診所,4,診所,100,\N,\N,臺北市士林區中山北路7段56－3號,2,28740162,4.9,17
110,3501154519,貝爾診所,4,診所,150,\N,\N,臺北市士林區中山北路7段82巷9號,2,28729980,3.8,56
111,3501154564,佩佩婦幼診所,4,診所,150,\N,\N,臺北市士林區中山北路六段182號、182號2樓,2,28386262,4.4,142
112,3701157407,維育牙醫診所,4,診所,150,\N,\N,臺北市士林區中正路120號1樓、120之1號1樓,2,28380071,4.6,693
113,3701157738,嘉芮牙醫診所,4,診所,150,\N,\N,臺北市士林區中正路120號2樓、120之1號2樓,2,28322161,\N,0
114,3801152468,承新中醫診所,4,診所,150,\N,\N,臺北市士林區中正路203號（實際使用2樓）,2,28815566,4.9,42
115,3501151394,榮庚皮膚專科診所,4,診所,150,\N,\N,臺北市士林區中正路210之1號1樓,2,28342633,3,56
116,3701150579,愛齒牙醫診所,4,診所,\N,\N,\N,臺北市士林區中正路234號,2,28342841,3.7,31
117,3701150195,陳慶成牙醫診所,4,診所,\N,\N,\N,臺北市士林區中正路240號1樓(含地下室),2,28333452,3,35
118,3501154180,士林小兒科診所,4,診所,\N,\N,\N,臺北市士林區中正路249號,2,28812485,4.3,38
119,3501154528,小禾馨士林小兒專科診所,4,診所,250,\N,\N,臺北市士林區中正路289號（實際使用：1樓）,2,28827333,3.8,174
120,3701157667,博識牙醫診所,4,診所,100,\N,\N,臺北市士林區中正路304號1、2樓,2,26333222,4.1,78
121,3701150346,端容牙醫診所,4,診所,\N,\N,\N,臺北市士林區中正路320號1樓,2,28313248,4.8,356
122,3501154448,耀明診所,4,診所,150,\N,\N,臺北市士林區中正路322號,2,28320657,4.4,54
123,3801152422,寶安中醫診所,4,診所,100,\N,\N,臺北市士林區中正路407號,2,28825335,4.6,22
124,3501154260,揚德健康診所,4,診所,150,\N,\N,臺北市士林區中正路436號（實際使用：1樓）,2,28362868,4.4,65
125,2101151037,臺北市立聯合醫院附設士林中醫門診部,4,診所,50,\N,國定假日及例假日無看診服務。,臺北市士林區中正路439號,2,28836268,4.1,41
126,2101150012,臺北市立聯合醫院附設士林門診部,4,診所,50,\N,國定假日及例假日無看診服務。,臺北市士林區中正路439號1樓,2,28836268,4.1,41
127,3701156973,正齡牙醫診所,4,診所,100,\N,\N,臺北市士林區中正路452號,2,28339903,4.3,73
128,3801152404,同慶中醫診所,4,診所,100,\N,\N,臺北市士林區中正路615號,2,28169160,\N,0
129,3501150226,健原診所,4,診所,150,150,"老人,幼兒,榮民,福保,  100",臺北市士林區中正路627號1樓,2,28116409,4.9,9
130,3501153895,佳視得眼科診所,4,診所,200,\N,\N,臺北市士林區天母北路11－1號1樓,2,28756230,4.8,44
131,3701150293,信誼牙醫診所,4,診所,100,200,"9:30 ~ 12:00, 15:00 ~ 17:00, 19:00 ~ 21:00",臺北市士林區天母北路12－1號2樓,2,28727225,4.3,25
132,3801151667,仰德中醫診所,4,診所,100,\N,\N,臺北市士林區天母北路18號1樓,2,28751600,5,87
133,3501153272,天母雙合耳鼻喉科診所,4,診所,150,\N,\N,臺北市士林區天母北路21號1樓,2,28711813,4.3,45
134,3701156919,國聯牙醫診所,4,診所,150,150,\N,臺北市士林區天母北路32號1樓,2,28724051,4.3,25
135,3501150182,天母許內科家醫科診所,4,診所,150,\N,福保、榮民100,臺北市士林區天母北路49號,2,28729367,4.9,10
136,3701151352,威廉牙醫診所,4,診所,150,150,\N,臺北市士林區天母北路87巷2弄3號1樓,2,28748013,3.6,16
137,3501153692,天母忠明２０２０眼科診所,4,診所,150,\N,\N,臺北市士林區天母西路10號2樓之1、2樓之4,2,28732020,3.1,80
138,3701157694,新鼎牙醫診所,4,診所,150,\N,\N,臺北市士林區天母西路11號2樓,2,28717700,4.9,274
139,3701157247,戴得育牙醫診所,4,診所,100,\N,\N,臺北市士林區天母西路27號2樓,2,28761168,5,6
140,3701150588,劉牙醫診所,4,診所,100,\N,\N,臺北市士林區天母西路28號2樓,2,28731457,3.6,8
141,3701150748,嚴永強牙醫診所,4,診所,150,200,\N,臺北市士林區天母西路39號4樓,2,28733272,4.9,33
142,3701150604,健群牙醫診所,4,診所,150,\N,\N,臺北市士林區天母西路3號4樓－6,2,28719781,4.9,276
143,3501151090,杏美皮膚科診所,4,診所,100,\N,部分負擔$50,臺北市士林區天母西路40－1號2樓,2,28715431,4.5,51
144,3701151209,昇陽牙醫診所,4,診所,150,\N,\N,臺北市士林區天母西路40－1號4樓,2,28748099,5,8
145,3701157701,格子牙醫診所,4,診所,150,\N,\N,臺北市士林區天母西路40之1號3樓,2,28715520,3.4,34
146,3801152182,世康中醫診所,4,診所,100,\N,\N,臺北市士林區天母西路40號2樓,2,28752001,4.8,25
147,3801152075,歐彥君中醫診所,4,診所,150,\N,\N,臺北市士林區天母西路52號,2,28711655,4.1,28
148,3701151638,邱瑋光牙醫診所,4,診所,150,\N,\N,臺北市士林區天母東路1－1號3樓,2,28765211,4.3,9
149,3701150560,永芳牙醫診所,4,診所,50,\N,\N,臺北市士林區天母東路1－2號1樓,2,28711339,3.2,9
150,3701151683,三船牙醫診所,4,診所,150,\N,\N,臺北市士林區天母東路1－2號4樓,2,28736170,3.9,7
151,3701157621,奧森牙醫診所,4,診所,100,\N,\N,臺北市士林區天母東路45之1號2樓,2,28752323,4.5,23
152,3501154635,三玉品恆復健科診所,4,診所,200,\N,\N,臺北市士林區天母東路53號,2,28760666,4.4,11
153,3701150891,鄭文韶牙醫診所,4,診所,150,\N,\N,臺北市士林區天母東路63號2樓,2,28735335,2.3,12
154,3701157103,三愛牙醫診所,4,診所,100,\N,\N,臺北市士林區天母東路69巷1之1號1樓,2,28733372,4.9,274
155,3701157443,彭志綱牙醫診所,4,診所,100,\N,\N,臺北市士林區天母東路77號,2,28769322,4.1,17
156,3501151401,柯佑民小兒科診所,4,診所,150,\N,\N,臺北市士林區天母東路8巷19弄5號1樓,2,28766955,3.2,27
157,3701156964,美加牙醫診所,4,診所,100,\N,\N,臺北市士林區天母東路8巷21－1號1樓,2,28743311,4.8,38
158,3701150266,凱健牙醫診所,4,診所,100,\N,\N,臺北市士林區天母東路8巷27－6號1樓,2,28728116,5,7
159,3701151763,佑成牙醫診所,4,診所,50,\N,\N,臺北市士林區天母東路8巷27號2樓－1,2,28727999,\N,0
160,3701156786,旺德牙醫診所,4,診所,100,\N,\N,臺北市士林區天母東路8巷37號,2,28760616,4.7,12
161,3701157318,美齊牙醫診所,4,診所,200,\N,\N,臺北市士林區天母東路8巷75號,2,28736677,4.3,17
162,3501153512,志明眼科診所,4,診所,150,\N,70歲以上掛號費100,臺北市士林區天母東路8巷83號,2,28743105,4.4,29
163,3701156937,大偉牙醫診所,4,診所,150,\N,\N,臺北市士林區天玉街38巷10號,2,28767658,4.4,20
164,3701150131,弘佑牙醫診所,4,診所,150,200,\N,臺北市士林區天玉街38巷12之1號,2,28711299,4.8,28
165,3501151661,家庭醫師張正弘診所,4,診所,150,150,福保100.殘障 50. 神父修女出家人 0. 其他優免 50-100.,臺北市士林區天玉街38巷9號,2,28747399,3.8,25
166,3701157309,天玉牙醫診所,4,診所,150,\N,\N,臺北市士林區天玉街81巷4號1樓,2,28727843,5,8
167,3701157452,和彩牙醫診所,4,診所,\N,\N,\N,臺北市士林區文昌路12號,2,28315550,3.8,22
168,3501153781,林志聰皮膚科診所,4,診所,150,\N,\N,臺北市士林區文昌路26號,2,28327989,4.1,126
169,3801152397,源遠堂中醫診所,4,診所,100,\N,\N,臺北市士林區文林路289號,2,28827666,4.8,13
170,3501153969,淨美皮膚科診所,4,診所,50,\N,\N,臺北市士林區文林路317號（實際實用1、2樓）,2,28816099,4.8,251
171,3801152235,澄隆中醫診所,4,診所,100,\N,\N,臺北市士林區文林路340號,2,28805629,4.5,15
172,3501154251,怡德診所,4,診所,100,\N,\N,臺北市士林區文林路342號6樓,2,28838099,5,2
173,3801152557,士林同仁中醫診所,4,診所,100,\N,\N,臺北市士林區文林路402號（實際使用：1、2樓）,2,28883889,4.5,29
174,3701157765,士林頌恩齒顎矯正牙醫診所,4,診所,200,\N,\N,臺北市士林區文林路420號（1、2、3號）,2,28826789,5,34
175,3701156928,維美牙醫診所,4,診所,150,150,\N,臺北市士林區文林路428號,2,28820228,5,219
176,3501153594,元群眼科診所,4,診所,100,\N,\N,臺北市士林區文林路437號1、2樓,2,28881711,1.8,210
177,3501150066,李文達婦產科診所,4,診所,150,\N,部分負擔50,臺北市士林區文林路458號（實際使用：1樓）,2,28321171-2,4.1,135
178,3501150422,存德小兒科診所,4,診所,150,\N,\N,臺北市士林區文林路460號,2,28342567,3.9,30
179,3801152548,存德中醫診所,4,診所,100,\N,\N,臺北市士林區文林路460號（實際使用：1樓）,2,28342566,5,87
180,3501154500,文林骨科診所,4,診所,200,\N,\N,臺北市士林區文林路468號,2,28336168,3.2,39
181,3801150188,信愛中醫診所,4,診所,150,\N,\N,臺北市士林區文林路478號1樓,2,28349339,4.7,22
182,3501151634,何英世婦產科診所,4,診所,150,\N,\N,臺北市士林區文林路482號1樓,2,28317152,2.6,82
183,3501154420,榮清耳鼻喉科診所,4,診所,150,\N,\N,臺北市士林區文林路483號（1樓）,2,28316878,3.9,77
184,3701150908,祥瑞牙醫診所,4,診所,50,\N,\N,臺北市士林區文林路487號（實際使用1、2樓）,2,28335611,4.6,112
185,3501154591,士林大學眼科診所,4,診所,150,\N,\N,臺北市士林區文林路496號、498號、500號及500號2樓,2,28316938,4.2,220
186,3501154402,士林復健科診所,4,診所,\N,\N,\N,臺北市士林區文林路497號,2,28322179,4.7,116
187,3801152100,崇生中醫診所,4,診所,100,\N,\N,臺北市士林區文林路519號,2,28342839,4.2,51
188,3801152093,昀漾中醫診所,4,診所,100,\N,\N,臺北市士林區文林路558號1樓,2,28380109,4.1,290
189,3501150388,邱世昌診所,4,診所,150,\N,\N,臺北市士林區文林路718號,2,28343565,3.4,24
190,3701157685,柏麗牙醫診所,4,診所,150,\N,掛號費150元 全民健保部分負擔50元,臺北市士林區文林路734號2樓,2,28356789,"4.8
",110
191,3501153263,杏昌診所,4,診所,200,\N,8:30-12:00 14:00-17:30,臺北市士林區文林路736號1樓,2,28325517,3.6,19
192,3701151227,芝山牙醫診所,4,診所,100,100,\N,臺北市士林區至誠路2段66號1樓,2,28368627,4.7,27
193,3701157505,優德牙醫診所,4,診所,100,\N,\N,臺北市士林區克強路13之1號,2,28365296,4.9,55
194,3701156713,福臨牙醫診所,4,診所,100,\N,\N,臺北市士林區志成街25號地下之2,2,28315148,3.8,24
195,3501150575,鄭醫師診所,4,診所,150,\N,\N,臺北市士林區延平北路5段120號1、2樓,2,28127412,2,12
196,3701150168,雅鄰牙醫診所,4,診所,100,\N,\N,臺北市士林區延平北路5段125號,2,28127890,4.7,57
197,3701156731,哲瑞牙醫診所,4,診所,150,\N,要事先提前一週預約以免等候太久,臺北市士林區延平北路5段135號,2,88113966,4.1,31
198,3701150337,信美牙醫診所,4,診所,100,\N,\N,臺北市士林區延平北路5段163巷7號,2,28118755,4.9,274
199,3801151916,保晟中醫診所,4,診所,100,300,針灸掛號費60元,臺北市士林區延平北路5段172號,2,28150510,3,26
200,3501154091,葉眼科診所,4,診所,150,\N,65歲以上掛號費50元,臺北市士林區延平北路5段173號1、2層,2,28129595,4.4,115
201,3501151901,慈田耳鼻喉科診所,4,診所,150,\N,\N,臺北市士林區延平北路5段185號1樓,2,28123595,3.6,47
202,3701150159,光華牙醫診所,4,診所,30,\N,\N,臺北市士林區延平北路5段186號2樓,2,28124507,4.8,682
203,3501150039,黃金喜婦產科診所,4,診所,150,\N,\N,臺北市士林區延平北路5段201號,2,28118236,3.7,23
204,3501151983,葉耳鼻喉科診所,4,診所,100,\N,\N,臺北市士林區延平北路5段218號,2,28167318,4.3,24
205,3701157390,合聖牙醫診所,4,診所,100,\N,\N,臺北市士林區延平北路5段241號第一層,2,28125358,3.3,27
206,3701151478,揚信牙醫診所,4,診所,100,\N,\N,臺北市士林區延平北路5段244巷17號1樓,2,28114498,4.3,28
207,3701150695,周欽定牙醫診所,4,診所,100,\N,\N,臺北市士林區延平北路5段277號,2,28121459,3.5,52
208,3501150477,社子陳診所,4,診所,100,\N,\N,臺北市士林區延平北路5段284號1樓,2,28128426,4.9,10
209,3501151974,蕭雨青小兒科診所,4,診所,150,\N,"3歲以下100,03-65歲150,65歲以上福保榮民身障50",臺北市士林區延平北路5段292號1樓,2,28126415,4.5,28
210,3701157489,英倫牙醫診所,4,診所,150,\N,掛號費100 健保部分負擔50,臺北市士林區延平北路5段305、307號,2,28168800,4.9,274
211,3501151670,祐聖眼科診所,4,診所,150,150,低收入戶榮民榮眷70歲以上收100元,臺北市士林區延平北路5段316號,2,28118583,2,25
